"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2016","76,500","75,096","76,675","75,096","410.92K","1.81%"
"Dec 08, 2016","75,139","74,500","75,994","74,125","602.11K","1.36%"
"Dec 07, 2016","74,130","75,175","75,640","73,856","474.34K","-0.83%"
"Dec 06, 2016","74,750","76,539","76,539","74,750","582.71K","-2.34%"
"Dec 05, 2016","76,539","76,610","77,115","76,000","583.64K","-0.10%"
"Dec 02, 2016","76,615","76,000","76,951","75,806","1.20M","0.68%"
"Dec 01, 2016","76,100","77,500","77,988","75,218","801.13K","-2.60%"
"Nov 30, 2016","78,135","77,200","78,850","77,200","783.67K","1.12%"
"Nov 29, 2016","77,266","76,300","77,900","76,255","446.90K","1.40%"
"Nov 28, 2016","76,200","77,550","77,550","76,200","532.08K","-2.06%"
"Nov 25, 2016","77,800","77,109","78,060","76,390","317.18K","0.90%"
"Nov 24, 2016","77,109","77,164","77,420","76,339","288.91K","0.54%"
"Nov 23, 2016","76,698","76,750","77,346","76,007","237.17K","-0.16%"
"Nov 22, 2016","76,822","78,000","78,000","76,063","425.94K","-0.34%"
"Nov 21, 2016","77,087","77,250","78,686","76,000","329.84K","-0.04%"
"Nov 18, 2016","77,115","76,700","78,678","76,700","352.16K","0.89%"
"Nov 17, 2016","76,437","76,029","77,061","76,029","319.03K","0.54%"
"Nov 16, 2016","76,029","76,000","76,760","75,545","623.03K","0.03%"
"Nov 15, 2016","76,005","77,150","77,150","75,300","951.83K","-0.34%"
"Nov 14, 2016","76,263","77,768","78,657","76,102","664.51K","-1.94%"
"Nov 11, 2016","77,768","74,730","79,386","74,400","947.95K","4.08%"
"Nov 10, 2016","74,722","75,601","75,601","72,820","1.69M","-1.16%"
"Nov 09, 2016","75,600","75,333","76,337","74,502","507.14K","0.26%"
"Nov 08, 2016","75,401","76,000","76,283","75,262","585.10K","-0.82%"
"Nov 07, 2016","76,027","76,671","76,982","75,452","422.59K","-0.11%"
"Nov 04, 2016","76,111","76,855","77,001","76,111","617.91K","-0.79%"
